,y,u
1948Q2,0.8544,-0.1424
1948Q3,0.0121,-0.0662
1948Q4,-0.0851,-0.0232
1949Q1,-2.0766,0.7864
1949Q2,-1.4919,1.9627
1949Q3,-0.1491,2.7723
1949Q4,-1.8979,3.0152
1950Q1,3.0831,2.4248
1950Q2,1.9108,1.5678
1950Q3,2.7766,0.6107
1950Q4,1.9026,0.1870
1951Q1,1.1674,-0.5701
1951Q2,1.6873,-0.9938
1951Q3,1.2963,-0.9509
1951Q4,-0.4476,-0.7746
1952Q1,0.0629,-1.0983
1952Q2,-1.1471,-1.2220
1952Q3,-0.0094,-0.9791
1952Q4,1.1481,-1.4028
1953Q1,0.8277,-1.5599
1953Q2,0.0329,-1.7169
1953Q3,-1.3706,-1.5740
1953Q4,-1.7157,-0.6310
1954Q1,-2.3035,0.9119
1954Q2,-1.3047,1.4215
1954Q3,0.2860,1.5645
1954Q4,0.5504,0.9074
1955Q1,1.2123,0.2837
1955Q2,0.1837,-0.0734
1955Q3,0.4181,-0.3971
1955Q4,-0.0329,-0.2875
1956Q1,-1.1036,-0.5112
1956Q2,-0.4516,-0.3683
1956Q3,-0.8336,-0.4587
1956Q4,0.1972,-0.4824
1957Q1,-0.0849,-0.7061
1957Q2,-0.9638,-0.5632
1957Q3,-0.3214,-0.4536
1957Q4,-2.4678,0.2227
1958Q1,-2.9562,1.5656
1958Q2,-0.3695,2.6086
1958Q3,1.4309,2.5515
1958Q4,1.4343,1.5611
1959Q1,0.3281,1.0041
1959Q2,0.9811,0.2470
1959Q3,-1.3650,0.3900
1959Q4,-0.0564,0.6996
1960Q1,0.7956,0.2092
1960Q2,-1.1934,0.2855
1960Q3,-0.8099,0.5617
1960Q4,-1.7666,1.2713
1961Q1,0.1286,1.7810
1961Q2,0.3310,1.9572
1961Q3,0.5142,1.7002
1961Q4,1.3183,1.1098
1962Q1,0.3963,0.5194
1962Q2,0.1293,0.3957
1962Q3,0.0195,0.4053
1962Q4,-1.0714,0.3482
1963Q1,0.4386,0.5578
1963Q2,0.4692,0.5008
1963Q3,0.8264,0.2437
1963Q4,-0.1898,0.2867
1964Q1,1.3045,0.1629
1964Q2,-0.0525,-0.1275
1964Q3,0.0966,-0.3512
1964Q4,-0.4786,-0.4082
1965Q1,1.2379,-0.4986
1965Q2,0.5321,-0.7557
1965Q3,0.6738,-1.0794
1965Q4,1.3689,-1.3698
1966Q1,1.0538,-1.6269
1966Q2,-0.6459,-1.6839
1966Q3,0.1136,-1.7743
1966Q4,-0.4157,-1.8647
1967Q1,-0.3422,-1.7551
1967Q2,-0.3099,-1.7788
1967Q3,0.5250,-1.8359
1967Q4,-0.3435,-1.7596
1968Q1,0.2481,-1.9500
1968Q2,0.7814,-2.1404
1968Q3,-0.1315,-2.1974
1968Q4,-1.0023,-2.3545
1969Q1,0.4902,-2.3782
1969Q2,-0.7694,-2.3686
1969Q3,-0.3536,-2.2590
1969Q4,-1.3053,-2.2827
1970Q1,-1.5225,-1.7064
1970Q2,-0.9931,-1.1302
1970Q3,0.3044,-0.7539
1970Q4,-1.8131,-0.1110
1971Q1,1.7433,-0.0347
1971Q2,-0.9139,-0.0917
1971Q3,-0.3947,0.0179
1971Q4,-0.9098,-0.1059
1972Q1,1.2624,-0.2962
1972Q2,1.0200,-0.3866
1972Q3,0.1292,-0.5437
1972Q4,0.9531,-0.7674
1973Q1,1.4142,-1.2245
1973Q2,-0.6501,-1.2482
1973Q3,-1.0044,-1.4053
1973Q4,-0.0151,-1.4623
1974Q1,-1.1840,-1.1194
1974Q2,-0.3415,-1.0764
1974Q3,-1.9366,-0.6668
1974Q4,-1.5078,0.2761
1975Q1,-2.5996,1.9191
1975Q2,0.3877,2.4953
1975Q3,1.0576,2.0716
1975Q4,0.7577,1.8812
1976Q1,1.2357,1.2908
1976Q2,-0.1803,1.1004
1976Q3,-0.2106,1.2434
1976Q4,0.3670,1.2530
1977Q1,0.7378,0.9626
1977Q2,0.9747,0.5722
1977Q3,1.3634,0.3152
1977Q4,-0.8819,0.0581
1978Q1,0.2528,-0.2990
1978Q2,2.4845,-0.6560
1978Q3,0.2282,-0.6464
1978Q4,0.6083,-0.8035
1979Q1,-0.6219,-0.8605
1979Q2,-0.7194,-1.0509
1979Q3,0.2738,-0.9080
1979Q4,-0.8154,-0.8317
1980Q1,0.3727,-0.5221
1980Q2,-3.0162,0.4875
1980Q3,-0.5585,0.7971
1980Q4,0.6363,0.5067
1981Q1,1.2913,0.5164
1981Q2,-0.9598,0.4593
1981Q3,-0.1830,0.4356
1981Q4,-2.0317,1.2452
1982Q1,-2.1463,1.8215
1982Q2,-0.3258,2.3977
1982Q3,-1.4270,2.8407
1982Q4,-0.4730,3.5836
1983Q1,0.2354,3.2599
1983Q2,1.6001,3.0028
1983Q3,0.8404,2.2124
1983Q4,1.1347,1.3554
1984Q1,1.9159,0.6650
1984Q2,0.7074,0.2079
1984Q3,0.0190,0.1842
1984Q4,-0.2112,0.0272
1985Q1,0.5644,-0.0632
1985Q2,-0.0203,-0.0203
1985Q3,0.3867,-0.1440
1985Q4,0.1039,-0.3344
1986Q1,0.9650,-0.3581
1986Q2,-1.0694,-0.2485
1986Q3,-0.4147,-0.4722
1986Q4,-0.0556,-0.6293
1987Q1,0.6418,-0.8864
1987Q2,0.4037,-1.2434
1987Q3,0.3803,-1.5338
1987Q4,0.9638,-1.7242