,unemp,infl,ff
1960q1,5.133,0.908,3.933
1960q2,5.233,1.811,3.697
1960q3,5.533,1.623,2.937
1960q4,6.267,1.795,2.297
1961q1,6.800,0.537,2.003
1961q2,7.000,0.715,1.733
1961q3,6.767,0.892,1.683
1961q4,6.200,1.068,2.400
1962q1,5.633,2.303,2.457
1962q2,5.533,1.235,2.607
1962q3,5.567,1.055,2.847
1962q4,5.533,1.228,2.923
1963q1,5.767,1.573,2.967
1963q2,5.733,0.349,2.963
1963q3,5.500,0.523,3.330
1963q4,5.567,2.430,3.453
1964q1,5.467,1.382,3.463
1964q2,5.200,1.205,3.490
1964q3,5.000,2.057,3.457
1964q4,4.967,1.706,3.577
1965q1,4.900,1.869,3.973
1965q2,4.667,1.860,4.077
1965q3,4.367,1.684,4.073
1965q4,4.100,2.679,4.167
1966q1,3.867,2.329,4.557
1966q2,3.833,3.633,4.913
1966q3,3.767,3.926,5.410
1966q4,3.700,3.566,5.563
1967q1,3.833,1.771,4.823
1967q2,3.833,2.562,3.990
1967q3,3.800,3.654,3.893
1967q4,3.900,4.404,4.173
1968q1,3.733,4.511,4.787
1968q2,3.567,4.461,5.980
1968q3,3.533,3.654,5.943
1968q4,3.400,5.569,5.917
1969q1,3.400,3.868,6.567
1969q2,3.433,5.440,8.327
1969q3,3.567,5.799,8.983
1969q4,3.567,5.148,8.940
1970q1,4.167,5.504,8.573
1970q2,4.767,5.567,7.880
1970q3,5.167,3.166,6.703
1970q4,5.833,5.177,5.567
1971q1,5.933,6.045,3.857
1971q2,5.900,5.298,4.563
1971q3,6.033,4.058,5.473
1971q4,5.933,3.243,4.750
1972q1,5.767,5.899,3.540
1972q2,5.700,2.412,4.300
1972q3,5.567,3.904,4.740
1972q4,5.367,4.734,5.143
1973q1,4.933,5.290,6.537
1973q2,4.933,6.546,7.817
1973q3,4.800,7.504,10.560
1973q4,4.767,6.786,9.997
1974q1,5.133,8.039,9.323
1974q2,5.200,8.883,11.250
1974q3,5.633,12.049,12.090
1974q4,6.600,12.011,9.347
1975q1,8.267,9.110,6.303
1975q2,8.867,5.590,5.420
1975q3,8.467,7.202,6.160
1975q4,8.300,6.880,5.413
1976q1,7.733,4.265,4.827
1976q2,7.567,4.220,5.197
1976q3,7.733,5.495,5.283
1976q4,7.767,6.903,4.873
1977q1,7.500,6.604,4.660
1977q2,7.133,6.497,5.157
1977q3,6.900,5.599,5.820
1977q4,6.667,6.652,6.513
1978q1,6.333,6.714,6.757
1978q2,6.000,7.861,7.283
1978q3,6.033,7.052,8.100
1978q4,5.900,7.979,9.583
1979q1,5.867,7.665,10.073
1979q2,5.700,8.993,10.180
1979q3,5.867,8.114,10.947
1979q4,5.967,8.027,13.577
1980q1,6.300,8.959,15.047
1980q2,7.333,9.118,12.687
1980q3,7.667,8.915,9.837
1980q4,7.400,10.550,15.853
1981q1,7.433,10.081,16.570
1981q2,7.400,7.058,17.780
1981q3,7.400,7.699,17.577
1981q4,8.233,7.241,13.587
1982q1,8.833,5.577,14.227
1982q2,9.433,5.136,14.513
1982q3,9.900,5.491,11.007
1982q4,10.667,4.114,9.287
1983q1,10.367,3.190,8.653
1983q2,10.133,3.573,8.803
1983q3,9.367,3.368,9.460
1983q4,8.533,3.340,9.430
1984q1,7.867,4.788,9.687
1984q2,7.433,3.329,10.557
1984q3,7.433,3.135,11.390
1984q4,7.300,2.778,9.267
1985q1,7.233,4.241,8.477
1985q2,7.300,2.621,7.923
1985q3,7.200,2.117,7.900
1985q4,7.033,2.806,8.103
1986q1,7.033,1.556,7.827
1986q2,7.167,1.870,6.920
1986q3,6.967,2.498,6.207
1986q4,6.833,2.850,6.267
1987q1,6.600,3.561,6.220
1987q2,6.267,2.805,6.650
1987q3,6.000,2.888,6.843
1987q4,5.833,3.225,6.917
1988q1,5.700,2.693,6.663
1988q2,5.467,4.031,7.157
1988q3,5.467,4.685,7.983
1988q4,5.333,3.109,8.470
1989q1,5.200,4.109,9.443
1989q2,5.233,3.970,9.727
1989q3,5.233,2.880,9.083
1989q4,5.367,2.955,8.613
1990q1,5.300,4.486,8.250
1990q2,5.333,4.575,8.243
1990q3,5.700,3.834,8.160
1990q4,6.133,3.479,7.743
1991q1,6.600,4.622,6.427
1991q2,6.833,2.828,5.863
1991q3,6.867,2.586,5.643
1991q4,7.100,2.128,4.817
1992q1,7.367,3.039,4.023
1992q2,7.600,2.275,3.770
1992q3,7.633,1.307,3.257
1992q4,7.367,2.514,3.037
1993q1,7.133,3.314,3.040
1993q2,7.067,2.137,3.000
1993q3,6.800,1.829,3.060
1993q4,6.633,2.243,2.990
1994q1,6.567,2.062,3.213
1994q2,6.200,1.843,3.940
1994q3,6.000,2.375,4.487
1994q4,5.633,1.865,5.167
1995q1,5.467,2.925,5.810
1995q2,5.667,1.679,6.020
1995q3,5.667,1.835,5.797
1995q4,5.567,1.948,5.720
1996q1,5.533,2.462,5.363
1996q2,5.500,1.366,5.243
1996q3,5.267,1.960,5.307
1996q4,5.333,1.593,5.280
1997q1,5.233,2.891,5.277
1997q2,5.000,1.811,5.523
1997q3,4.867,1.177,5.533
1997q4,4.667,1.447,5.507
1998q1,4.633,1.052,5.520
1998q2,4.433,1.011,5.500
1998q3,4.533,1.395,5.533
1998q4,4.433,1.082,4.860
1999q1,4.267,1.694,4.733
1999q2,4.300,1.343,4.747
1999q3,4.233,1.376,5.093
1999q4,4.100,1.790,5.307
2000q1,4.033,3.669,5.680
2000q2,4.000,2.103,6.273
2000q3,4.067,1.868,6.520
2000q4,3.967,1.748,6.473